Sloka,Class
" कश्चित् कस्यचिन्मित्रं, न कश्चित् कस्यचित् रिपु:।                        अर्थतस्तु निबध्यन्ते, मित्राणि रिपवस्तथा ॥",Chanakya Slokas
मूर्खशिष्योपदेशेन दुष्टास्त्रीभरणेन च।                           दुःखितैः सम्प्रयोगेण पण्डितोऽप्यवसीदति॥,Chanakya Slokas
दुष्टा भार्या शठं मित्रं भृत्यश्चोत्तरदायकः।                           ससर्पे गृहे वासो मृत्युरेव न संशयः॥,Chanakya Slokas
धनिकः श्रोत्रियो राजा नदी वैद्यस्तु पञ्चमः।                                   पञ्च यत्र न विद्यन्ते न तत्र दिवसे वसेत ॥,Chanakya Slokas
जानीयात्प्रेषणेभृत्यान् बान्धवान्व्यसनाऽऽगमे।                                 मित्रं याऽऽपत्तिकालेषु भार्यां च विभवक्षये ॥,Chanakya Slokas
 यस्मिन् देशे न सम्मानो न वृत्तिर्न च बान्धवाः।                        न च विद्यागमोऽप्यस्ति वासस्तत्र न कारयेत् ॥,Chanakya Slokas
 माता यस्य गृहे नास्ति भार्या चाप्रियवादिनी।                            अरण्यं तेन गन्तव्यं यथारण्यं तथा गृहम् ॥,Chanakya Slokas
 आपदर्थे धनं रक्षेद् दारान् रक्षेद् धनैरपि।                            आत्मानं सततं रक्षेद् दारैरपि धनैरपि ॥,Chanakya Slokas
 लोकयात्रा भयं लज्जा दाक्षिण्यं त्यागशीलता।                                   पञ्च यत्र न विद्यन्ते न कुर्यात्तत्र संगतिम् ॥,Chanakya Slokas
 आतुरे व्यसने प्राप्ते दुर्भिक्षे शत्रुसण्कटे।                                    राजद्वारे श्मशाने च यात्तिष्ठति स बान्धवः ॥,Chanakya Slokas
 भोज्यं भोजनशक्तिश्च रतिशक्तिर वरांगना ।                                   विभवो दानशक्तिश्च नाऽल्पस्य तपसः फलम् ॥,Chanakya Slokas
यस्य पुत्रो वशीभूतो भार्या छन्दानुगामिनी।                                   विभवे यस्य सन्तुष्टिस्तस्य स्वर्ग इहैव हि ॥,Chanakya Slokas
ते पुत्रा ये पितुर्भक्ताः सः पिता यस्तु पोषकः।                                तन्मित्रं यत्र विश्वासः सा भार्या या निवृतिः ॥,Chanakya Slokas
कष्टं च खलु मूर्खत्वं कष्ट च खलु यौवनम्।                                  कष्टात्कष्टतरं चैव परगृहेनिवासनम् ॥,Chanakya Slokas
माता शत्रुः पिता वैरी येनवालो न पाठितः।                                  न शोभते सभामध्ये हंसमध्ये वको यथा ॥,Chanakya Slokas
  परोक्षे कार्यहन्तारं प्रत्यक्षे प्रियवादिनम्।                                    वर्जयेत्तादृशं मित्रं विषकुम्भं पयोमुखम् ॥,Chanakya Slokas
 न विश्वसेत्कुमित्रे च मित्रे चापि न विश्वसेत्।                                    कदाचित्कुपितं मित्रं सर्वं गुह्यं प्रकाशयेत् ॥,Chanakya Slokas
 मनसा चिन्तितं कार्यं वाचा नैव प्रकाशयेत्।                                    मन्त्रेण रक्षयेद् गूढं कार्य चापि नियोजयेत् ॥,Chanakya Slokas
 शैले शैले न माणिक्यं मौक्तिकं न गजे गजे।                                   साधवो न हि सर्वत्र चन्दनं न वने वने ॥,Chanakya Slokas
 लालनाद् बहवो दोषास्ताडनाद् बहवो गुणाः।                                   तस्मात्पुत्रं च शिष्यं च ताडयेन्न तु लालयेत् ॥,Chanakya Slokas
 बलं विद्या च विप्राणां राज्ञः सैन्यं बलं तथा।                                   बलं वित्तं च वैश्यानां शूद्राणां च कनिष्ठता ॥,Chanakya Slokas
दुराचारी च दुर्दृष्टिर्दुराऽऽवासी च दुर्जनः।                                 यन्मैत्री क्रियते पुम्भिर्नरः शीघ्र विनश्यति ॥,Chanakya Slokas
समाने शोभते प्रीती राज्ञि सेवा च शोभते।                                  वाणिज्यं व्यवहारेषु स्त्री दिव्या शोभते गृहे ॥,Chanakya Slokas
यो ध्रुवाणि परित्यज्य ह्यध्रुवं परिसेवते।                                 ध्रुवाणि तस्य नश्यन्ति चाध्रुवं नष्टमेव तत् ॥,Chanakya Slokas
वरयेत्कुलजां प्राज्ञो निरूपामपि कन्यकाम्।                                  रूपवतीं न नीचस्य विवाहः सदृशे कुले ॥,Chanakya Slokas
  कस्य दोषः कुले नास्ति व्याधिना को न पीडितः।                                   व्यसनं केन न प्राप्तं कस्य सौख्यं निरन्तरम् ॥,Chanakya Slokas
 आचारः कुलमाख्याति देशमाख्याति भाषणम्।                                     सम्भ्रमः स्नेहमाख्याति वपुराख्याति भोजनम् ॥,Chanakya Slokas
 सकुले योजयेत्कन्या पुत्रं पुत्रं विद्यासु योजयेत्।                                  व्यसने योजयेच्छत्रुं मित्रं धर्मे नियोजयेत् ॥,Chanakya Slokas
 दुर्जनेषु च सर्पेषु वरं सर्पो न दुर्जनः।                                  सर्पो दंशति कालेन दुर्जनस्तु पदे-पदे ॥,Chanakya Slokas
 एतदर्थ कुलीनानां नृपाः कुर्वन्ति संग्रहम्।                                   आदिमध्यावसानेषु न त्यजन्ति च ते नृपम् ॥,Chanakya Slokas
 प्रलये भिन्नमर्यादा भवन्ति किल सागराः।                                    सागरा भेदमिच्छन्ति प्रलयेऽपि न साधवः॥,Chanakya Slokas
मूर्खस्तु परिहर्तव्यः प्रत्यक्षो द्विपदः पशुः।                                 भिनत्ति वाक्यशूलेन अदृश्ययं कण्टकं यथा ॥,Chanakya Slokas
रूपयौवनसम्पन्ना विशालकुलसम्भवाः।                                  विद्याहीना न शोभन्ते निर्गन्धा इव किंशुकाः ॥,Chanakya Slokas
कोकिलानां स्वरो रूपं नारी रूपं पतिव्रतम्।                                  विद्या रूपं कुरूपाणां क्षमा रूपं तपस्विनाम्॥,Chanakya Slokas
 त्यजेदेकं कुलस्यार्थे ग्रामस्यार्थे कुलं त्यजेत्।                                  ग्रामं जनपदस्यार्थे आत्मार्थे पृथिवीं त्यजेत्॥,Chanakya Slokas
  उद्योगे नास्ति दारिद्रयं जपतो नास्ति पातकम्।                                      मौनेन कलहो नास्ति जागृतस्य च न भयम्॥,Chanakya Slokas
 अति रूपेण वै सीता चातिगर्वेण रावणः।                                    अतिदानाद् बलिर्बद्धो ह्यति सर्वत्र वर्जयेत्॥,Chanakya Slokas
 को हि भारः समर्थानां किं दूर व्यवसायिनाम्।                                  को विदेश सुविद्यानां को परः प्रियवादिनम्॥,Chanakya Slokas
  एकेनापि सुवर्ण पुष्पितेन सुगन्धिता।                                    वसितं तद्वनं सर्वं सुपुत्रेण कुलं यथा॥,Chanakya Slokas
 एकेन शुष्कवृक्षेण दह्यमानेन वह्निना।                                   दह्यते तद्वनं सर्वं कुपुत्रेण कुलं यथा॥,Chanakya Slokas
 एकेनापि सुपुत्रेण विद्यायुक्ते च साधुना।                                  आह्लादितं कुलं सर्वं यथा चन्द्रेण शर्वरी॥,Chanakya Slokas
किं जातैर्बहुभिः पुत्रैः शोकसन्तापकारकैः।                                 वरमेकः कुलावल्भबो यत्र विश्राम्यते कुलम्॥,Chanakya Slokas
लालयेत् पंचवर्षाणि दशवर्षाणि ताडयेत्।                                  प्राप्ते तु षोडशे वर्षे पुत्रं मित्रवदाचरेत्॥,Chanakya Slokas
उपसर्गेऽन्यच्रके च दुर्भिक्षे च भयावहे।                                 असाधुजनसम्पर्के पलायति स जीवति॥,Chanakya Slokas
धर्मार्थकाममोश्रेषु यस्यैकोऽपि न विद्यते।                                जन्म जन्मानि मर्त्येषु मरणं तस्य केवलम्॥,Chanakya Slokas
 मूर्खाः यत्र न पूज्यन्ते धान्यं यत्र सुसंचितम् ।                                   दाम्पत्योः कलहो नास्ति तत्र श्री स्वयमागता॥,Chanakya Slokas
 आयुः कर्म वित्तञ्च विद्या निधनमेव च।                                     पञ्चैतानि हि सृज्यन्ते गर्भस्थस्यैव देहिनः॥,Chanakya Slokas
 साधुम्यस्ते निवर्तन्ते पुत्रः मित्राणि बान्धवाः।                                   ये च तैः सह गन्तारस्तद्धर्मात्सुकृतं कुलम्॥,Chanakya Slokas
  दर्शनध्यानसंस्पर्शैर्मत्स्यी कूर्मी च पक्षिणि।                                    शिशु पालयते नित्यं तथा सज्जनसंगतिः॥,Chanakya Slokas
 यावत्स्वस्थो ह्यय देहः तावन्मृत्युश्च दूरतः।                                   तावदात्महितं कुर्यात् प्रणान्ते किं करिष्यति॥,Chanakya Slokas
  कामधेनुगुणा विद्या ह्ययकाले फलदायिनी।                                   प्रवासे मातृसदृशा विद्या गुप्तं धनं स्मृतम्॥,Chanakya Slokas
 एकोऽपि गुणवान् पुत्रो निर्गुणैश्च शतैर्वरः।                                    एकश्चन्द्रस्तमो हन्ति न च ताराः सहस्रशः॥,Chanakya Slokas
मूर्खश्चिरायुर्जातोऽपि तस्माज्जातमृतो वरः।                                     मृतः स चाल्पदुःखाय यावज्जीवं जडो दहेत्॥,Chanakya Slokas
कुग्रामवासः कुलहीन सेवा कुभोजन क्रोधमुखी च भार्या।                                      पुत्रश्च मूर्खो विधवा च कन्या विनाग्निमेते प्रदहन्ति कायम्॥,Chanakya Slokas
किं तया क्रियते धेन्वा या न दोग्ध्रो न गर्भिणी।                                कोऽर्थः पुत्रेण जातेन यो न विद्वान्न भक्तिमान्॥,Chanakya Slokas
 संसारातपदग्धानां त्रयो विश्रान्तिहेतवः।                                  अपत्यं च कलत्रं च सतां संगतिरेव च॥,Chanakya Slokas
  एकाकिना तपो द्वाभ्यां पठनं गायनं त्रिभिः।                                    चतुर्भिगमन क्षेत्रं पञ्चभिर्बहुभि रणम्॥,Chanakya Slokas
 सा भार्या या सुचिदक्षा सा भार्या या पतिव्रता।                                  सा भार्या या पतिप्रीता सा भार्या सत्यवादिनी ॥,Chanakya Slokas
  अपुत्रस्य गृहं शून्यं दिशः शून्यास्त्वबान्धवाः।                                      मूर्खस्य हृदयं शून्यं सर्वशून्यं दरिद्रता॥,Chanakya Slokas
 अनभ्यासे विषं शास्त्रमजीर्णे भोजनं विषम्।                                    दरिद्रस्य विषं गोष्ठी वृद्धस्य तरुणी विषम्॥,Chanakya Slokas
  त्यजेद्धर्म दयाहीनं विद्याहीनं गुरुं त्यजेत्।                                    त्यजेत्क्रोधमुखी भार्या निःस्नेहान्बान्धवांस्यजेत्॥,Chanakya Slokas
  कः कालः कानि मित्राणि को देशः को व्ययागमोः।                                   कस्याहं का च मे शक्तिरिति चिन्त्यं मुहुर्मुहुः॥,Chanakya Slokas
जनिता चोपनेता च यस्तु विद्यां प्रयच्छति।                                   अन्नदाता भयत्राता पञ्चैता पितरः स्मृताः॥,Chanakya Slokas
 राजपत्नी गुरोः पत्नी मित्रपत्नी तथैव च।                                      पत्नीमाता स्वमाता च पञ्चैताः मातर स्मृताः॥,Chanakya Slokas
गुरुरग्निर्द्विजातीनां वर्णानां ब्राह्मणो गुरुः।                                  पतिरेव गुरुः स्त्रीणां सर्वस्याभ्यगतो गुरुः॥,Chanakya Slokas
 यथा चतुर्भिः कनकं परीक्ष्यते निर्घषणच्छेदन तापताडनैः।                                 तथा चतुर्भिः पुरुषः परीक्ष्यते त्यागेन शीलेन गुणेन कर्मणा॥,Chanakya Slokas
  तावद् भयेषु भेतव्यं यावद्भयमनागतम्।                                    आगतं तु भयं दृष्टवा प्रहर्तव्यमशङ्कया॥,Chanakya Slokas
 एकोदरसमुद्भूता एक नक्षत्र जातका।                                   न भवन्ति समा शीले यथा बदरिकण्टकाः॥,Chanakya Slokas
  निस्पृहो नाधिकारी स्यान्न कामी भण्डनप्रिया।                                   नो विदग्धः प्रियं ब्रूयात् स्पष्ट वक्ता न वञ्चकः॥,Chanakya Slokas
 आलस्योपहता विद्या परहस्तं गतं धनम्।                                   अल्पबीजहतं क्षेत्रं हतं सैन्यमनायकम्॥,Chanakya Slokas
  अभ्यासाद्धार्यते विद्या कुलं शीलेन धार्यते।                                     गुणेन ज्ञायते त्वार्य कोपो नेत्रेण गम्यते॥,Chanakya Slokas
   वित्तेन रक्ष्यते धर्मो विद्या योगेन रक्ष्यते।                                     मृदुना रक्ष्यते भूपः सत्स्त्रिया रक्ष्यते गृहम्॥,Chanakya Slokas
दारिद्रयनाशनं दानं शीलं दुर्गतिनाशनम्।                                  अज्ञानतानाशिनी प्रज्ञा भावना भयनाशिनी॥,Chanakya Slokas
  नास्ति कामसमो व्याधिर्नास्ति मोहसमो रिपुः।                                  नास्ति कोप समो वह्नि र्नास्ति ज्ञानात्परं सुखम्॥,Chanakya Slokas
जन्ममृत्युर्नियत्येको भुनक्तयेकः शुभाशुभम्।                                  नरकेषु पतत्येकः एको याति परां गतिम्॥,Chanakya Slokas
 तृणं ब्रह्मविद स्वर्गं तृणं शूरस्य जीवनम्।                                  जिमाक्षस्य तृणं नारी निःस्पृहस्य तृणं जगत्॥,Chanakya Slokas
 विद्या मित्रं प्रवासेषु भार्या मित्रं गृहेषु च।                                   व्याधितस्यौषधं मित्रं धर्मो मित्रं मृतस्य च॥,Chanakya Slokas
  वृथा वृष्टिः समुद्रेषु वृथा तृप्तेषु भोजनम्।                                     वृथा दानं धनाढ्येषु वृथा दीपो दिवापि च॥,Chanakya Slokas
  नास्ति मेघसमं तोयं नास्ति चात्मसमं बलम्।                                    नास्ति चक्षुसमं तेजो नास्ति चान्नसमं प्रियम्॥,Chanakya Slokas
 अधना धनमिच्छन्ति वाचं चैव चतुष्पदाः।                                    मानवाः स्वर्गमिच्छन्ति मोक्षमिच्छन्ति देवताः॥,Chanakya Slokas
 सत्येन धार्यते पृथ्वी सत्येन तपते रविः।                                  सत्येन वाति वायुश्च सर्वं सत्ये प्रतिष्ठितम्॥,Chanakya Slokas
   चला लक्ष्मीश्चलाः प्राणाश्चले जीवितमन्दिरे।                                      चलाचले च संसारे धर्म एको हि निश्चलः॥,Chanakya Slokas
श्रुत्वा धर्म विजानाति श्रुत्वा त्यजति दुर्मतिम्।                                  श्रुत्वा ज्ञानमवाप्नोति श्रुत्वा मोक्षमवाप्नुयात्॥,Chanakya Slokas
  यस्यार्थास्तस्य मित्राणि यस्यार्थास्तस्य बान्धवाः।                                    यस्यार्थाः स पुमांल्लोके यस्यार्थाः स च पण्डितः॥,Chanakya Slokas
तादृशी जायते बुद्धिर्व्यवसायोऽपि तादृशः।                                  सहायास्तादृशा एव यादृशी भवितव्यता॥,Chanakya Slokas
 कालः पचति भूतानि कालः संहरते प्रजाः।                                  कालः सुप्तेषु जागर्ति कालो हि दुरतिक्रमः॥,Chanakya Slokas
 नैव पश्यति जन्मान्धः कामान्धो नैव पश्यति।                                   मदोन्मत्ता न पश्यन्ति अर्थी दोषं न पश्यति॥,Chanakya Slokas
   स्वयं कर्म कोत्यात्मा स्वयं तत्फलमश्नुते।                                      स्वयं भ्रमति संसारे स्वयं तस्माद्विमुच्यते॥,Chanakya Slokas
  राजा राष्ट्रकृतं पापं राज्ञः पापं पुरोहितः।                                  भर्ता च स्त्रीकृतं पापं शिष्य पाप गुरुस्तथा॥,Chanakya Slokas
  ऋणकर्ता पिता शत्रुर्माता च व्यभिचारिणी।                                   भार्या रुपवती शत्रुः पुत्र शत्रु र्न पण्डितः॥,Chanakya Slokas
लुब्धमर्थेन गृह्णीयात्स्तब्धमञ्जलिकर्मणा।                                   मूर्खश्छन्दानुरोधेन यथार्थवादेन पण्डितम्॥,Chanakya Slokas
कुराजराज्येन कृतः प्रजासुखं कुमित्रमित्रेण कुतोऽभिनिवृत्तिः।                                   कुदारदारैश्च कुतो गृहे रतिः कृशिष्यमध्यापयतः कुतो यशः॥,Chanakya Slokas
सिंहादेकं बकादेकं शिक्षेच्चत्वारि कुक्कुटात्।                                  वायसात्पञ्च शिक्षेच्च षट् शुनस्त्रीणि गर्दभात्॥,Chanakya Slokas
  प्रभूतं कार्यमपि वा तत्परः प्रकर्तुमिच्छति।                                    सर्वारम्भेण तत्कार्यं सिंहादेकं प्रचक्षते॥,Chanakya Slokas
इन्द्रियाणि च संयम्य बकवत्पण्डितो नरः।                                  देशकालः बलं ज्ञात्वा सर्वकार्याणि साधयेत्॥,Chanakya Slokas
धनधान्य प्रयोगेषु विद्या सङ्ग्रहेषु च।                                आहारे व्यवहारे च त्यक्तलज्जः सुखी भवेत्॥,Chanakya Slokas
 सुश्रान्तोऽपि वहेद् भारं शीतोष्णं न पश्यति।                                   सन्तुष्टश्चरतो नित्यं त्रीणि शिक्षेच्च गर्दभात्॥,Chanakya Slokas
  प्रत्युत्थानं च युद्धं च संविभागश्च बन्धुषु।                                    स्वयमाक्रम्य भोक्तं च शिक्षेच्चत्वारि कुक्कुटात्॥,Chanakya Slokas
  गूढ मैथुनकारित्वं काले काले च संग्रहम्।                                   अप्रमत्तवचनमविश्वासं पञ्च शिक्षेच्च वायसात्॥,Chanakya Slokas
  वह्वशी स्वल्पसन्तुष्टः सुनिद्रो लघुचेतनः।                                    स्वामिभक्तश्च शूरश्च षडेते श्वानतो गुणाः॥,Chanakya Slokas
  अर्थनाश मनस्तापं गृहिण्याश्चरितानि च।                                     नीचं वाक्यं चापमानं मतिमान्न प्रकाशयेत॥,Chanakya Slokas
सन्तोषामृततृप्तानां यत्सुखं शान्तिरेव च।                                न च तद्धनलुब्धानामितश्चेतश्च धावाताम्॥,Chanakya Slokas
सन्तोषस्त्रिषु कर्तव्यः स्वदारे भोजने धने।                                  त्रिषु चैव न कर्तव्योऽध्ययने जपदानयोः॥,Chanakya Slokas
 पादाभ्यां न स्पृशेदग्निं गुरुं ब्राह्मणमेव च।                                  नैव गावं कुमारीं च न वृद्धं न शिशुं तथा॥,Chanakya Slokas
 शकटं पञ्चहस्तेन दशहस्तेन वाजिनम्।                                   हस्तिनं शतहस्तेन देशत्यागेन दुर्जनम्॥,Chanakya Slokas
 हस्ती त्वंकुशमात्रेण बाजो हस्तेन तापते।                                  शृङ्गीलकुटहस्तेन खड्गहस्तेन दुर्जनः॥,Chanakya Slokas
 नात्यन्तं सरलेन भाव्यं गत्वा पश्य वनस्थलीम्।                                 छिद्यन्ते सरलास्तत्र कुब्जास्तिष्ठन्ति पादपाः॥,Chanakya Slokas
  उपार्जितानां वित्तानां त्याग एव हि रक्षणम्।                                   तडागोदरसंस्थानां परिदाह इदाम्मससाम्॥,Chanakya Slokas
  स्वर्गस्थितानामिह जीवलोके चत्वारि चिह्नानि वसन्ति देहे।                                  दानप्रसङ्गो मधुरा च वाणी देवार्चनं ब्राह्मणतर्पणं च॥,Chanakya Slokas
 अत्यन्तलेपः कटुता च वाणी दरिद्रता च स्वजनेषु वैरम्।                                    नीच प्रसङ्गः कुलहीनसेवा चिह्नानि देहे नरकस्थितानाम्॥,Chanakya Slokas
  शुनः पुच्छमिव व्यर्थं जीवितं विद्यया विना।                                      न गुह्यगोपने शक्तं न च दंशनिवारणे॥,Chanakya Slokas
वाचा च मनसः शौचं शौचमिन्द्रियनिग्रहः।                                   सर्वभूतदया शौचमेतचछौचं परमार्थिनाम्॥,Chanakya Slokas
अधमा धनमिच्छन्ति धनं मानं च मध्यमाः।                                  उत्तमा मानमिच्छन्ति मानो हि महतां धनम्॥,Chanakya Slokas
  अजीर्णे भेषजं वारि जीर्णे तद् बलप्रदम्।                                    भोजने चामृतं वारि भोजनान्तें विषप्रदम्॥,Chanakya Slokas
 काष्ठपाषाण धातुनां कृत्वा भावेन सेवनम्।                                   श्रद्धया च तथा सिद्धिस्तस्य विष्णोः प्रसादतः॥,Chanakya Slokas
  न देवो विद्यते काष्ठे न पाषाणे न मृण्मये।                                     भावे हि विद्यते देवस्तस्माद् भावो हि कारणम्॥,Chanakya Slokas
 शान्तितुल्यं तपो नास्ति न सन्तोषात्परं सुखम्।                                    न तृष्णया परो व्याधिर्न च धर्मो दयापरः॥,Chanakya Slokas
  क्रोधो वैवस्वतो राजा तृष्णा वैतरणी नदी।                                   विद्या कामदुधा धेनुः संतोषो नन्दनं वनम्॥,Chanakya Slokas
  गुणो भूषयते रूपं शीलं भूषयते कुलम्।                                    सिद्धिर्भूषयते विद्यां भोगो भूषयते धनम्॥,Chanakya Slokas
 निर्गुणस्य हतं रूपं दुःशीलस्य हतं कुलम्।                                    असिद्धस्य हता विद्या अभोगस्य हतं धनम्॥,Chanakya Slokas
 किं कुलेन विशालेन विद्याहीने च देहिनाम्।                                    दुष्कुलं चापि विदुषी देवैरपि हि पूज्यते॥,Chanakya Slokas
विद्वान् प्रशस्यते लोके विद्वान् सर्वत्र गौरवम्।                                  विद्वया लभते सर्वं विद्या सर्वत्र पूज्यते॥,Chanakya Slokas
 परस्परस्य मर्माणि ये भाषन्ते नराधमाः।                                     ते एव विलयं यान्ति वल्मीकोदरसर्पवत्॥,Chanakya Slokas
  सर्वौषधीनामममृतं प्रधानं सर्वेषु सौख्येष्वशनं प्रधानम्।                                     सर्वेन्द्रियाणां नयनं प्रधानं सर्वेषु गात्रेषु शिरः प्रधानम्॥,Chanakya Slokas
  विद्यार्थी सेवकः पान्थः क्षुधार्तो भयकातरः।                                    भाण्डारी च प्रतिहारी सप्तसुप्तान् प्रबोधयेत॥,Chanakya Slokas
   अहिं नृपं च शार्दूलं वराटं बालकं तथा।                                     परश्वानं च मूर्खं च सप्तसुप्तान् बोधयेत्॥,Chanakya Slokas
 दरिद्रता धीरयता विराजते कुवस्त्रता स्वच्छतया विराजते।                                    कदन्नता चोष्णतया विराजते कुरूपता शीलतया विराजते॥,Chanakya Slokas
 धनहीनो न च हीनश्च धनिक स सुनिश्चयः।                                  विद्या रत्नेन हीनो यः स हीनः सर्ववस्तुषु॥,Chanakya Slokas
   दृष्टिपूतं न्यसेत् पादं वस्त्रपूतं जलं पिवेत्।                                     शास्त्रपूतं वदेद् वाक्यं मनः पूतं समाचरेत्॥,Chanakya Slokas
 सुखार्थी चेत् त्यजेद्विद्यां त्यजेद्विद्यां विद्यार्थी चेत् त्यजेत्सुखम्।                                  सुखार्थिनः कुतो विद्या कुतो विद्यार्थिनः सुखम्॥,Chanakya Slokas
  कवयः किं न पश्यन्ति किं न कुर्वन्ति योषितः।                                     मद्यपा किं न जल्पन्ति किं न खादन्ति वायसाः॥,Chanakya Slokas
 रङ्कं करोति राजानं राजानं रङ्कमेव च।                                  धनिनं निर्धनं चैव निर्धनं धनिनं विधिः॥,Chanakya Slokas
येषां न विद्या न तपो न दानं न चापि शीलं च गुणो न धर्मः।                                   ते मर्त्यलोके भुवि भारभूता मनुष्यरुपेण मृगाश्चरन्ति॥,Chanakya Slokas
 वरं वनं व्याघ्रगजेन्द्रसेवितं द्रुमालयः पत्रफलाम्बु सेवनम्।                                   तृणेशु शय्या शतजीर्णवल्कलं न बन्धुमध्ये धनहीनजीवनम्॥,Chanakya Slokas
