Sloka,Class
  माता च कमला देवी पिता देवो जनार्दनः।                                   बान्धवा विष्णुभक्ताश्च स्वदेशो भुवनत्रयम्॥,Chanakya Slokas
   बुद्धिर्यस्य बलं तस्य निर्बुद्धेस्तु कुतो बलम्।                                     वने सिंहो मदोन्मत्तः शशकेन निपातितः॥,Chanakya Slokas
 दातृत्वं प्रियवक्तृत्वं धीरत्वमुचितज्ञता।                                    अभ्यासेन न लभ्यन्ते चत्वारः सहजा गुणाः॥,Chanakya Slokas
 अन्तर्गतमलो दुष्टस्तीर्थस्नानशतैरपि।                                   न शुद्धयतियथाभाण्डं सुरया दाहितं च तत्॥,Chanakya Slokas
    कामं क्रोधं तथा लोभं स्वाद शृङ्गारकौतुकम्।                                     अतिनिद्राऽतिसेवा च विद्यार्थी ह्याष्ट वर्जयेत्॥,Chanakya Slokas
 सत्यं माता पिता ज्ञानं धर्मो भ्राता दया सखा।                                   शान्तिः पत्नी क्षमा पुत्रः षडेते मम बान्धवाः॥,Chanakya Slokas
  मातृवत् परदारेषु परद्रव्याणि लोष्ठवत्।                                    आत्मवत् सर्वभूतानि यः पश्यति सः पण्डितः॥,Chanakya Slokas
  जलबिन्दुनिपातेन क्रमशः पूर्यते घटः।                                     स हेतु सर्वविद्यानां धर्मस्य च धनस्य च॥,Chanakya Slokas
  गतं शोको न कर्तव्यं भविष्यं नैव चिन्तयेत्।                                     वर्तमानेन कालेन प्रवर्तन्ते विचक्षणाः॥,Chanakya Slokas
 स्वभावेन हि तुष्यन्ति देवाः सत्पुरुषाः पिताः।                                    ज्ञातयः स्नानपानाभ्यां वाक्यदानेन पण्डिताः॥,Chanakya Slokas
 यस्य स्नेहो भयं तस्य स्नेहो दुःखस्य भाजनम्।                                    स्नेहमूलानि दुःखानि तानि त्यक्तवा वसेत्सुखम्॥,Chanakya Slokas
 अनागत विधाता च प्रत्युत्पन्नगतिस्तथा।                                    द्वावातौ सुखमेवेते यद्भविष्यो विनश्यति॥,Chanakya Slokas
   जीवन्तं मृतवन्मन्ये देहिनं धर्मवर्जितम्।                                     मृतो धर्मेण संयुक्तो दीर्घजीवी न संशयः॥,Chanakya Slokas
 धर्मार्थकाममोक्षाणां यस्यैकोऽपि न विद्वते।                                   अजागलस्तनस्येव तस्य जन्म निरर्थकम्॥,Chanakya Slokas
  दह्यमानां सुतीव्रेण नीचाः परयशोऽग्निना।                                      अशक्तास्तत्पदं गन्तुं ततो निन्दां प्रकुर्वते॥,Chanakya Slokas
   बन्धन्य विषयासङ्गः मुक्त्यै निर्विषयं मनः।                                     मन एव मनुष्याणां कारणं बन्धमोक्षयोः॥,Chanakya Slokas
 देहाभिमानगलिते ज्ञानेन परमात्मनः।                                   यत्र यत्र मनो याति तत्र तत्र समाधयः॥,Chanakya Slokas
  ईप्सितं मनसः सर्वं कस्य सम्पद्यते सुखम्।                                     दैवायत्तं यतः सर्वं तस्मात् सन्तोषमाश्रयेत्॥,Chanakya Slokas
  यथा धेनु सहस्रेषु वत्सो गच्छति मातरम्।                               तथा यच्च कृतं कर्म कर्तारमनुगच्छति॥,Chanakya Slokas
   अनवस्थितकायस्य न जने न वने सुखम्।                                     जनो दहति संसर्गाद् वनं सगविवर्जनात॥,Chanakya Slokas
  यथा खनित्वा खनित्रेण भूतले वारि विन्दति।                                    तथा गुरुगतां विद्यां शुश्रुषुरधिगच्छति॥,Chanakya Slokas
 पृथिव्यां त्रीणी रत्नानि अन्नमापः सुभाषितम् ।                                    मूढैः पाषाणखण्डेषु रत्नसंज्ञा विधीयते ॥,Chanakya Slokas
 आत्मापराधवृक्षस्य फलान्येतानि देहिनाम् ।                                   दारिद्रयरोग दुःखानि बन्धनव्यसनानि च॥,Chanakya Slokas
   बहूनां चैव सत्तवानां रिपुञ्जयः ।                                     वर्षान्धाराधरो मेधस्तृणैरपि निवार्यते॥,Chanakya Slokas
   त्यज दुर्जनसंसर्गं भज साधुसमागमम् ।                                     कुरु पुण्यमहोरात्रं स्मर नित्यमनित्यतः॥,Chanakya Slokas
 जले तैलं खले गुह्यं पात्रे दानं मनागपि ।                                    प्राज्ञे शास्त्रं स्वयं याति विस्तारे वस्तुशक्तितः॥,Chanakya Slokas
   उत्पन्नपश्चात्तापस्य बुद्धिर्भवति यादृशी ।                                      तादृशी यदि पूर्वा स्यात्कस्य स्यान्न महोदयः ॥,Chanakya Slokas
 दाने तपसि शौर्ये च विज्ञाने विनये नये ।                                विस्मयो न हि कर्तव्यो बहुरत्ना वसुन्धरा॥,Chanakya Slokas
 दूरस्थोऽपि न दूरस्थो यो यस्य मनसि स्थितः ।                                   यो यस्य हृदये नास्ति समीपस्थोऽपि दूरतः॥,Chanakya Slokas
  प्रस्तावसदृशं वाक्यं प्रभावसदृशं प्रियम् ।                                   आत्मशक्तिसमं कोपं यो जानाति स पण्डितः॥,Chanakya Slokas
 तावन्मौनेन नीयन्ते कोकिलश्चैव वासराः ।                                  यावत्सर्वं जनानन्ददायिनी वाङ्न प्रवर्तते॥,Chanakya Slokas
  यस्य चित्तं द्रवीभूतं कृपया सर्वजन्तुषु ।                                      तस्य ज्ञानेन मोक्षेण किं जटा भसमलेपनैः॥,Chanakya Slokas
 एकमेवाक्षरं यस्तु गुरुः शिष्यं प्रबोधयेत् ।                                 पृथिव्यां नास्ति तद्द्रव्यं यद् दत्त्वा चाऽनृणी भवेत् ॥,Chanakya Slokas
 अन्यायोपार्जितं वित्तं दशवर्षाणि तिष्ठति ।                                  प्राप्ते चैकादशे वर्षे समूलं तद् विनश्यति॥,Chanakya Slokas
  अनन्तशास्त्रं बहुलाश्च विद्या अल्पं च कालो बहुविघ्नता च ।                                     आसारभूतं तदुपासनीयं हंसो यथा क्षीरमिवाम्बुमध्यात्॥,Chanakya Slokas
   न निर्मिता केन न दृष्टपूर्वा न श्रूयते हेममयी कुरङ्गी ।                                     तथाऽपि तृष्णा रघुनन्दनस्य विनाशकाले विपरीतबुद्धिः॥,Chanakya Slokas
  गुणैरुत्तमतां यान्ति नोच्चैरासनसंस्थितैः ।                                   प्रसादशिखरस्थोऽपि किं काको गरुडायते ॥,Chanakya Slokas
 प्रियवाक्यप्रदानेन सर्वे तुष्यन्ति मानवाः ।                                 तस्मात् तदेव वक्तव्यं वचने का दरिद्रता ॥,Chanakya Slokas
    पुस्तकेषु च या विद्या परहस्तेषु च यद्धनम् ।                                     उत्पन्नेषु च कार्येषु न सा विद्या न तद्धनम् ॥,Chanakya Slokas
 कृते प्रतिकृतिं कुर्यात् हिंसेन प्रतिहिंसनम् ।                                    तत्र दोषो न पतति दुष्टे दौष्ट्यं समाचरेत्॥,Chanakya Slokas
  यद् दूरं यद् दुराराध्यं यच्च दूरे व्यवस्थितम् ।                                    तत्सर्वं तपसा साध्यं तपो हि दुरतिक्रमम् ॥,Chanakya Slokas
  नान्नोदकसमं दानं न तिथिर्द्वादशी समा ।                                 न गायत्र्याः परो मन्त्रो न मातुर्दैवतं परम् ॥,Chanakya Slokas
  दानेन पाणिर्न तु कङ्कणेन स्नानेन शुद्धिर्न तु चन्दनेन ।                                    मानेन तृप्तिर्न तु भोजनेन ज्ञानेन मुक्तिर्न तु मण्डनेन॥,Chanakya Slokas
निषेवते प्रशस्तानी निन्दितानी न सेवते ।                            अनास्तिकः श्रद्धान एतत् पण्डितलक्षणम् ॥                               ,Vidur Niti Slokas
क्रोधो हर्षश्च दर्पश्च ह्रीः स्तम्भो मान्यमानिता।                            यमर्थान् नापकर्षन्ति स वै पण्डित उच्यते ॥                               ,Vidur Niti Slokas
यस्य कृत्यं न विघ्नन्ति शीतमुष्णं भयं रतिः ।                            समृद्धिरसमृद्धिर्वा स वै पण्डित उच्यते ॥                               ,Vidur Niti Slokas
क्षिप्रं विजानाति चिरं शृणोति विज्ञाय चार्थ भते न कामात्।                            नासम्पृष्टो व्युपयुङ्क्ते परार्थे तत् प्रज्ञानं प्रथमं पण्डितस्य ॥                               ,Vidur Niti Slokas
आत्मज्ञानं समारम्भः तितिक्षा धर्मनित्यता ।                            यमर्थान्नापकर्षन्ति स वै पण्डित उच्यते ॥ ,Vidur Niti Slokas
यस्य कृत्यं न जानन्ति मन्त्रं वा मन्त्रितं परे।                            कृतमेवास्य जानन्ति स वै पण्डित उच्यते ॥ ,Vidur Niti Slokas
यथाशक्ति चिकीर्षन्ति यथाशक्ति च कुर्वते।                            न किञ्चिदवमन्यन्ते  नराः पण्डितबुद्धयः ॥ ,Vidur Niti Slokas
नाप्राप्यमभिवाञ्छन्ति नष्टं नेच्छन्ति शोचितुम् ।                           आपत्सु च न मुह्यन्ति नराः पण्डितबुद्धयः ॥ ,Vidur Niti Slokas
निश्चित्वा यः प्रक्रमते नान्तर्वसति कर्मणः ।                            अवन्ध्यकालो वश्यात्मा स वै पण्डित उच्यते ॥                               ,Vidur Niti Slokas
आर्यकर्मणि रज्यन्ते भूतिकर्माणि कुर्वते।                            हितं च नाभ्यसूयन्ति पण्डिता भरतर्षभ ॥                               ,Vidur Niti Slokas
न हृष्यत्यात्मसम्माने नावमानेन  तप्यते।                              गाङ्गो ह्रद ईवाक्षोभ्यो यः स पण्डित उच्यते ॥                               ,Vidur Niti Slokas
प्रवृत्तवाक् विचित्रकथ ऊहवान् प्रतिभानवान्।                            आशु ग्रन्थस्य वक्ता च यः स पण्डित उच्यते ॥                               ,Vidur Niti Slokas
श्रुतं प्रज्ञानुगं यस्य प्रज्ञा चैव श्रुतानुगा।                           असम्भित्रायेमर्यादः पण्डिताख्यां लभेत सः ॥ ,Vidur Niti Slokas
अश्रुतश्च समुत्रद्धो दरिद्रश्य महामनाः।                            अर्थांश्चाकर्मणा प्रेप्सुर्मूढ इत्युच्यते बुधैः ॥    ,Vidur Niti Slokas
स्वमर्थं यः परित्यज्य परार्थमनुतिष्ठति।                          मिथ्या चरति मित्रार्थे यश्च मूढः स उच्यते ॥    ,Vidur Niti Slokas
अकामान् कामयति यः कामयानान् परित्यजेत्।                            बलवन्तं च यो द्वेष्टि तमाहुर्मूढचेतसम् ॥  ,Vidur Niti Slokas
अमित्रं कुरुते मित्रं मित्रं द्वेष्टि हिनस्ति च ।                             कर्म चारभते दुष्टं तमाहुर्मूढचेतसम्  ॥                               ,Vidur Niti Slokas
संसारयति  कृत्यानि सर्वत्र विचिकित्सते।                            चिरं करोति क्षिप्रार्थे स मूढो भरतर्षभ ॥                               ,Vidur Niti Slokas
अनाहूत: प्रविशति अपृष्टो बहु भाषेते ।                            अविश्चस्ते  विश्चसिति  मूढचेता नराधम: ॥                               ,Vidur Niti Slokas
परं क्षिपति दोषेण वर्त्तमानः स्वयं तथा ।                            यश्च क्रुध्यत्यनीशानः स च मूढतमो नरः ॥                               ,Vidur Niti Slokas
अर्थम् महान्तमासाद्य विद्यामैश्वर्यमेव वा।                             विचरत्यसमुन्नद्धो य: स पंडित उच्यते ॥ ,Vidur Niti Slokas
एकः सम्पत्रमश्नाति वस्त्रे वासश्च शोभनम् ।                            योऽसंविभज्य भृत्येभ्यः को नृशंसतरस्ततः ॥    ,Vidur Niti Slokas
एक: पापानि कुरुते फलं भुङ्क्ते महाजन:।                            भोक्तारो विप्रमुच्यन्ते कर्ता दोषेण लिप्यते ॥    ,Vidur Niti Slokas
एकं हन्यान्न वा हन्यादिषुर्मुक्तो धनुष्मता।                            बुद्धिर्बुद्धिमतोत्सृष्टा हन्याद् राष्ट्रम सराजकम् ॥  ,Vidur Niti Slokas
एकमेवाद्वितीयम तद् यद् राजन्नावबुध्यसे।                             सत्यम स्वर्गस्य सोपानम् पारवारस्य नैरिव ॥                               ,Vidur Niti Slokas
एकः क्षमावतां दोषो द्वतीयो नोपपद्यते।                            यदेनं क्षमया युक्तमशक्तं मन्यते जनः ॥                               ,Vidur Niti Slokas
सोऽस्य दोषो न मन्तव्यः क्षमा हि परमं बलम्।                             क्षमा गुणों ह्यशक्तानां  शक्तानां  भूषणं क्षमा ॥                               ,Vidur Niti Slokas
एको धर्म: परम श्रेय: क्षमैका शान्तिरुक्तमा।                            विद्वैका परमा तृप्तिरहिंसैका सुखावहा ॥                               ,Vidur Niti Slokas
द्वविमौ ग्रसते भूमिः सर्पो बिलशयानिवं।                            राजानं चाविरोद्धारं ब्राह्मणं चाप्रवासिनम् ॥ ,Vidur Niti Slokas
द्वे कर्मणी नरः कुर्वन्नस्मिंल्लोके विरोचते।                            अब्रुवं परुषं कश्चित् असतोऽनर्चयंस्तथा ॥    ,Vidur Niti Slokas
द्वाविमौ कण्टकौ तीक्ष्णौ शरीरपरिशोषिणौ।                             यश्चाधनः कामयते यश्च कुप्यत्यनीश्चरः ॥    ,Vidur Niti Slokas
द्वाविमौ पुरुषौ राजन स्वर्गस्योपरि तिष्ठत: ।                             प्रभुश्च क्षमया युक्तो दरिद्रश्च प्रदानवान् ॥  ,Vidur Niti Slokas
न्यायार्जितस्य द्रव्यस्य बोद्धव्यौ द्वावतिक्रमौ ।                            अपात्रे प्रतिपत्तिश्च पात्रे चाप्रतिपादनम्  ॥                               ,Vidur Niti Slokas
त्रिविधं नरकस्येदं द्वारम नाशनमात्मन: ।                            काम: क्रोधस्तथा लोभस्तस्मादेतत्त्रयं त्यजेत् ॥                               ,Vidur Niti Slokas
चत्वारि राज्ञा तु महाबलेना वर्ज्यान्याहु: पण्डितस्तानि विद्यात् ।                            अल्पप्रज्ञै: सह मन्त्रं न कुर्यात दीर्घसुत्रै रभसैश्चारणैश्च ॥                               ,Vidur Niti Slokas
चत्वारि ते तात गृहे वसन्तु श्रियाभिजुष्टस्य  गृहस्थधर्मे ।                            वृद्धो ज्ञातिरवसत्रः कुलीनः सखा दरिद्रो भगिनी चानपत्या ॥                               ,Vidur Niti Slokas
पन्चाग्न्यो मनुष्येण परिचर्या: प्रयत्नत:।                           पिता माताग्निरात्मा च गुरुश्च भरतर्षभ ॥ ,Vidur Niti Slokas
पंचैव पूजयन् लोके यश: प्राप्नोति केवलं ।                             देवान्  पितॄन् मनुष्यांश्च भिक्षून् अतिथि पंचमान् ॥    ,Vidur Niti Slokas
पंचेन्द्रियस्य मर्त्यस्य छिद्रं चेदेकमिन्द्रियम् ।                            ततोऽस्य स्त्रवति प्रज्ञा दृतेः पात्रादिवोदकम् ॥    ,Vidur Niti Slokas
षड् दोषा: पुरुषेणेह हातव्या भूतिमिच्छिता ।                            निद्रा तन्द्रा भयं क्रोध आलस्यं दीर्घसूत्रता ॥  ,Vidur Niti Slokas
पंच त्वाऽनुगमिष्यन्ति यत्र यत्र गमिष्यसि ।                            मित्राण्यमित्रा मध्यस्था उपजीव्योपजीविनः ॥                               ,Vidur Niti Slokas
षण्णामात्मनि नित्यानामैश्वर्यं योऽधिगच्छति।                                              न स पापैः कुतोऽनथैर्युज्यते विजितेन्द्रियः ॥    ,Vidur Niti Slokas
षडिमान् पुरुषो जह्यात् भिन्नं नावमिवार्णवे                            अप्रवक्तारं आचार्यं अनध्यायिनम् ऋत्विजम् ।                            आरक्षितारं राजानं भार्यां चाऽप्रियवादिनीं                            ग्रामकामं च गोपालं वनकामं च नापितम्॥                               ,Vidur Niti Slokas
अर्थागमो नित्यमरोगिता च प्रिया च भार्य प्रियवादिनी च ।                            वश्यश्च पुत्रोऽर्थकरी च विद्या षट् जीवलोकस्य सुखानि राजन् ॥ ,Vidur Niti Slokas
षडेव तु गुणाः पुंसा न हातव्याः कदाचन।                            सत्यं दानमनालस्यमनसूया क्षमा धृतिः ॥                               ,Vidur Niti Slokas
दश धर्मं न जानन्ति धृतराष्ट्र निबोध तान्।                              मत्तः प्रमत्तः उन्मत्तः श्रान्तः क्रुद्धो बुभुक्षितः ॥                              त्वरमाणश्च लुब्धश्च भीतः कामी च ते दश।                              तस्मादेतेषु सर्वेषु न प्रसज्जेत पण्डितः  ॥    ,Vidur Niti Slokas
आरोग्यमानृण्यमविप्रवासः सद्भिर्मनुष्यैस्सह संप्रयोगः।                            स्वप्रत्यया वृत्तिरभीतवासः षट् जीवलोकस्य सुखानि राजन् ॥                               ,Vidur Niti Slokas
ईर्ष्यी घृणी न संतुष्टः क्रोधनो नित्यशङ्कितः।                                              परभाग्योपजीवी च षडेते नित्यदुःखिताः ॥    ,Vidur Niti Slokas
अष्टौ गुणाः पुरुषं दीपयन्ति प्रज्ञा च कौल्यं च दमः श्रुतं च।                             पराक्रमश्चाबहुभाषिता च दानं यथाशक्ति कृतज्ञता च ॥                               ,Vidur Niti Slokas
सुदुर्बलं नावजानाति कञ्चित् युक्तो रिपुं सेवते बुद्धिपूर्वम् ।                            न विग्रहं रोचयते बलस्थैः काले च यो विक्रमते स धीरः ॥ ,Vidur Niti Slokas
प्राप्यापदं न व्यथते कदाचि- दुद्योगमन्विच्छति चाप्रमत्तः।                           दुःखं च काले सहते महात्मा धुरन्धरस्तस्य जिताः सप्तनाः ॥                               ,Vidur Niti Slokas
अनर्थकं विप्रवासं गृहेभ्यः पापैः सन्धि परदाराभिमर्शम् ।                            दम्भं स्तैन्य पैशुन्यं मद्यपानं न सेवते यश्च सुखी सदैव ॥                               ,Vidur Niti Slokas
न संरम्भेणारभते त्रिवर्गमाकारितः शंसति तत्त्वमेव ।                            न  मित्रार्थरोचयते विवादं  नापुजितः  कुप्यति चाप्यमूढः ॥                               ,Vidur Niti Slokas
न योऽभ्यसुयत्यनुकम्पते च न दुर्बलः प्रातिभाव्यं करोति ।                            नात्याह किञ्चित् क्षमते विवादं सर्वत्र तादृग् लभते प्रशांसाम्  ॥                               ,Vidur Niti Slokas
यो नोद्धतं कुरुते जातु वेषं न पौरुषेणापि विकत्थतेऽन्त्यान्।                            न मूर्च्छितः कटुकान्याह किञ्चित् प्रियंसदा तं कुरुते जनो हि ॥                               ,Vidur Niti Slokas
न वैरमुद्दीपयति प्रशान्तं न दर्पमारोहति नास्तमेति ।                            न दुर्गतोऽस्मीति करोत्यकार्यं तमार्यशीलं परमाहुरार्याः ॥                               ,Vidur Niti Slokas
देशाचारान्   समयाञ्चातिधर्मान्  बुभूषते यः स परावरज्ञः ।                            स यत्र तत्राभिगतः सदैव महाजनस्याधिपत्यं करोति ॥ ,Vidur Niti Slokas
दम्भं मोहं मात्सर्यं पापकृत्यं राजद्धिष्टं पैशुनं पूगवैरम् ।                            मत्तोन्मत्तैदुर्जनैश्चापि  वादं यः प्रज्ञावान् वर्जयेत् स प्रानः ॥    ,Vidur Niti Slokas
दानं होमं दैवतं मङ्गलानि प्रायश्चित्तान् विविधान् लोकवादान् ।                            एतानि यः कुरुत नैत्यकानि तस्योत्थानं देवता राधयन्ति ॥    ,Vidur Niti Slokas
समैर्विवाहः कुरुते न हीनैः समैः सख्यं व्यवहारं कथां च ।                            गुणैर्विशिष्टांश्च पुरो दधाति विपश्चितस्तस्य नयाः सुनीताः॥  ,Vidur Niti Slokas
मित्रं भुड्क्ते संविभज्याश्रितेभ्यो मितं स्वपित्यमितं  कर्म कृत्वा ।                            ददात्यमित्रेष्वपि याचितः संस्तमात्मवन्तं प्रजहत्यनर्थाः ॥                               ,Vidur Niti Slokas
चिकीर्षितं विप्रकृतं च यस्य नान्ये जनाः कर्म जानन्ति किञ्चित् ।                            मन्त्रे गुप्ते सम्यगनुष्ठिते च नाल्पोऽप्यस्य  च्यवते कश्चिदर्थः ॥                               ,Vidur Niti Slokas
यः सर्वभूतप्रशमे निविष्टः सत्यो मृदुर्मानकृच्छुद्धभावः ।                           अतीव स ज्ञायते ज्ञातिमध्ये महामणिर्जात्य इव प्रसन्नः ॥                               ,Vidur Niti Slokas
य आत्मनाऽपत्रपते भृशं नरः स सर्वलोकस्य गुरुभर्वत्युत ।                            अनन्ततेजाः सुमनाः समाहितः स तेजसा सूर्य इवावभासते ॥                               ,Vidur Niti Slokas
वनस्पतेरपक्वानि फलानि प्रचिनोति यः ।                           स नाप्नोति रसं तेभ्यो बीजं चास्य विनश्यति ॥ ,Vidur Niti Slokas
पुष्पं पुष्पं विचिन्वीत मूलच्छेदं न कारयेत् ।                            मालाकार इवारामे न यथाङ्गरकारकः ॥    ,Vidur Niti Slokas
किन्नु मे स्यादिदं कृत्वा किन्नु मे स्यादकुर्वतः ।                            इति कर्माणि सञ्चिन्त्य कुरयड् कुर्याद् वा पुरुषो न वा॥    ,Vidur Niti Slokas
अनारभ्या भवन्त्यर्थाः केचित्रित्यं तथाऽगताः ।                            कृतः पुरुषकारो हि भवेद् येषु निरर्थकः ॥  ,Vidur Niti Slokas
प्रसादो निष्फलो यस्य क्रोधश्चापि निरर्थकः।                            न तं भर्तारमिच्छनित षण्ढं पतिमिव स्त्रियः ॥                               ,Vidur Niti Slokas
कांश्चिदर्थात्ररः प्राज्ञो लघुमूलान्महाफलान्।                            क्षिप्रमारभते कर्तुं न विघ्नयति तादृशान् ॥                               ,Vidur Niti Slokas
यस्मात् त्रस्यन्ति भूतानि मृगव्याधान्मृगा इव।                            सागरान्तामपि महीं लब्ध्वा स परिहीयते ॥                               ,Vidur Niti Slokas
पितृपैतामहं राज्यं प्राप्तवान् स्वेन कर्मणा।                            वायुरभ्रमिवासाद्य भ्रंशयत्यनये स्थितः ॥                               ,Vidur Niti Slokas
अप्युन्मत्तात् प्रलपतो बालाच्च परिजल्पतः।                            सर्वतः सारमादद्यात् अश्मभ्य इव काञ्जनम् ॥ ,Vidur Niti Slokas
सुव्याहृतानि सुक्तानि सुकृतानि ततस्ततः।                            सञ्चिन्वन् धीर आसीत् शिलाहरी शिलं यथा ॥    ,Vidur Niti Slokas
गन्धेन गावः पश्यन्ति वेदैः पश्यन्ति ब्राह्मणाः।                           चारैः पश्यन्ति राजानश्चक्षुर्भ्यामितरे जनाः ॥    ,Vidur Niti Slokas
यदतप्तं प्रणमति न तत् सन्तापयन्त्यपि।                            यश्च स्वयं नतं दारुं न तत् सत्रमयन्त्यपि ॥  ,Vidur Niti Slokas
एतयोपमया धीरः सत्रमेत बलीयसे ।                            इन्द्राय स प्रणमते नमते यो बलीयसे ॥                               ,Vidur Niti Slokas
पर्जन्यनाथाः पशवो राजानो मन्त्रिबान्धवाः ।                            पतयो बान्धवाः स्त्रीणां ब्राह्मणा वेदबान्धवाः ॥                               ,Vidur Niti Slokas
